id	title	description	availability	condition	price	link	image_link	brand
41011	Hp laptop	HP 15s,11th Gen Intel Core i3-1115G4 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fq2673TU	in stock	new	43,490.00	https://www.amazon.in/HP-i3-1115G4-Micro-Edge-Anti-Glare-15s-fq2673TU/dp/B0B4N6JVMW/ref=sr_1_11?crid=2BFY4ZAHIW35E&keywords=laptop&qid=1669784728&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&s=electronics&sprefix=lapto%2Celectronics%2C224&sr=1-11	https://m.media-amazon.com/images/I/91-U2J7fKoL._SL1500_.jpg	Hp
41012	Dell laptop	Dell Vostro 3420 Laptop, Intel Core i3-1115G4, 8GB DDR4 & 256GB SSD, Win 11 + MSO'21, 14.0", 35.56Cms FHD WVA AG 250 nits, Carbon Black (D552299WIN9BE, 1.48Kgs	in stock	new	36,790.00	https://www.amazon.in/Dell-i3-1115G4-35-56Cms-D552299WIN9BE-1-48Kgs/dp/B0B469F1PN/ref=sr_1_9?crid=2BFY4ZAHIW35E&keywords=laptop&qid=1669784728&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&s=electronics&sprefix=lapto%2Celectronics%2C224&sr=1-9	https://m.media-amazon.com/images/I/61peI2M3z8L._SL1080_.jpg	Dell
41013	ASUS laptop	ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W	in stock	new	25,990.00	https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_5?crid=2BFY4ZAHIW35E&keywords=laptop&qid=1669784728&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&s=electronics&sprefix=lapto%2Celectronics%2C224&sr=1-5	https://m.media-amazon.com/images/I/71S8U9VzLTL._SL1500_.jpg	ASUS
41014	lenovo laptop	Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN	in stock	new	38,620.00	https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81X800LGIN/dp/B0B2RBP83P/ref=sr_1_20?crid=2BFY4ZAHIW35E&keywords=laptop&qid=1669784728&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&s=electronics&sprefix=lapto%2Celectronics%2C224&sr=1-20	https://m.media-amazon.com/images/I/61Dw5Z8LzJL._SL1000_.jpg	lenovo
41015	Acer laptop	Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches ( 39 cm ) Business Laptop (4GB RAM/256 GB SSD/Windows 11 Home/Black/1.9 Kg, EX215-31)	in stock	new	22,990.00	https://www.amazon.in/Acer-Extensa-Processor-Business-EX215-31/dp/B09LLQ1WL2/ref=sr_1_24?crid=2BFY4ZAHIW35E&keywords=laptop&qid=1669784728&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&s=electronics&sprefix=lapto%2Celectronics%2C224&sr=1-24	https://m.media-amazon.com/images/I/51uwEtc8roL._SL1125_.jpg	Acer
41016	Whirlpool Ac	Whirlpool 1.5 Ton 5 Star, Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, 2022 Model, 1.5T Magicool Convert Pro 5S INV (N), White)	in stock	new	36,490.00	https://www.amazon.in/Whirlpool-Inverter-Convertible-Cooling-Magicool/dp/B09RWRDPT7/ref=sr_1_14?keywords=ac&qid=1669785300&qu=eyJxc2MiOiI3LjMyIiwicXNhIjoiNy4yMyIsInFzcCI6IjUuMTIifQ%3D%3D&sr=8-14	https://m.media-amazon.com/images/I/41uMPN7SoIL._SL1000_.jpg	Whirlpool
41017	Croma Ac	Croma 1.5 Ton 3 Star 4in1 Smart Convertible Inverter Split AC (Copper, 4 in 1 Smart Convertible, Blue Fins, PM 2.5 Filter with activated carbon, Cools at 54°C, R-32 Green Refrigerant, 10 Years Compressor Warranty, 2022 Model, CRLAIN0183T0252, White)	in stock	new	29,994.00	https://www.amazon.in/Convertible-activated-Refrigerant-Compressor-CRLAIN0183T0252/dp/B09VH618HZ/ref=sr_1_6?keywords=ac&qid=1669785300&qu=eyJxc2MiOiI3LjMyIiwicXNhIjoiNy4yMyIsInFzcCI6IjUuMTIifQ%3D%3D&sr=8-6	https://m.media-amazon.com/images/I/510ecA5ZLoL._SL1400_.jpg	Croma
41018	LG  AC	LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2022 Model, PS-Q19YNZE, White)	in stock	new	42,990.00	https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q19YNZE/dp/B09NS5TKPN/ref=sr_1_10?keywords=ac&qid=1669785300&qu=eyJxc2MiOiI3LjMyIiwicXNhIjoiNy4yMyIsInFzcCI6IjUuMTIifQ%3D%3D&sr=8-10	https://m.media-amazon.com/images/I/51hbo8yQ1EL._SL1500_.jpg	LG
41019	DaikinAc	Daikin 0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White) 	in stock	new	30,887.90	https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL28U/dp/B09R4SF5SP/ref=sr_1_3?keywords=ac&qid=1669785300&qu=eyJxc2MiOiI3LjMyIiwicXNhIjoiNy4yMyIsInFzcCI6IjUuMTIifQ%3D%3D&sr=8-3	https://m.media-amazon.com/images/I/410ih0eEMfL._SL1500_.jpg	Daikin
41020	Carrier Ac	Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)	in stock	new	32,990.00	https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67RLLJC/ref=sr_1_7?keywords=ac&qid=1669785300&qu=eyJxc2MiOiI3LjMyIiwicXNhIjoiNy4yMyIsInFzcCI6IjUuMTIifQ%3D%3D&sr=8-7	https://m.media-amazon.com/images/I/410ih0eEMfL._SL1500_.jpgg	Carrier
